0,-128,0,0,0,-128,0,0
0,-128,0,5105,0,-128,0,-4948
0,-6,0,5105,0,6,0,-4948
0,-8,-1,5105,0,8,0,-4948
0,-10,-1,5095,0,6,2,-4938
0,-12,-3,-28,0,12,4,28
0,-9,-4,-38,0,8,6,47
0,-15,-5,-48,0,18,7,57
0,-12,-6,-48,0,10,8,76
0,-17,-8,-67,0,15,10,76
0,-14,-9,-57,0,17,11,67
0,-19,-11,-67,0,18,12,67
0,-16,-13,-67,0,14,14,77
0,-21,-15,-77,0,15,16,77
0,-16,-18,-86,0,15,19,77
0,-21,-20,-96,0,20,22,96
0,-16,-23,-115,0,11,24,105
0,-12,-26,-124,0,16,26,114
0,-16,-29,-115,0,15,30,114
0,-16,-31,-124,0,11,32,124
0,-16,-34,-125,0,15,35,115
0,-16,-36,-125,0,15,38,125
0,-16,-39,-115,0,10,40,125
0,-16,-42,-125,0,11,43,125
0,-11,-44,-125,0,15,46,115
0,-16,-47,-125,0,15,48,125
0,-11,-50,-125,0,10,51,125
0,-16,-52,-124,0,10,54,134
0,-16,-55,-124,0,19,56,124
0,-16,-57,-115,0,15,59,114
0,-21,-60,-114,0,19,61,124
0,-16,-63,-115,0,15,64,114
0,-21,-65,-115,0,15,67,115
0,-16,-68,-115,0,15,70,115
0,-12,-71,-124,0,15,72,115
0,-16,-74,-115,0,15,75,115
0,-16,-76,-125,0,15,78,125
0,-16,-79,-115,0,10,80,125
0,-16,-82,-125,0,11,83,115
0,-11,-85,-125,0,15,86,115
0,-16,-88,-125,0,15,88,115
0,-20,-90,-124,0,19,91,124
0,-11,-93,-124,0,15,94,124
0,-20,-95,-124,0,15,96,124
0,-16,-98,-114,0,15,99,115
0,-20,-101,-115,0,19,102,124
0,-11,-104,-124,0,15,104,115
0,-16,-106,-115,0,15,107,124
0,-11,-109,-124,0,10,110,124
0,-16,-112,-115,0,15,113,115
0,-11,-114,-124,0,19,116,115
0,-16,-117,-115,0,15,118,125
0,-11,-120,-125,0,10,121,125
0,-16,-122,-114,0,15,124,114
0,-16,-125,-124,0,15,126,114
0,-16,-127,-114,0,15,129,114
0,-21,-130,-114,0,19,132,124
0,-16,-133,-115,0,15,134,115
0,-21,-135,-115,0,15,137,125
0,-16,-138,-115,0,10,140,124
0,-17,-140,-115,0,11,142,115
0,-17,-143,-105,0,15,145,115
0,-17,-145,-115,0,15,148,124
0,-17,-148,-115,0,15,150,115
0,-13,-151,-115,0,15,153,125
0,-22,-154,-115,0,15,156,125
0,-17,-156,-115,0,11,158,115
0,-22,-159,-115,0,20,161,115
0,-18,-161,-115,0,15,164,125
0,-22,-164,-115,0,20,166,115
0,-18,-166,-115,0,15,169,124
0,-18,-169,-114,0,16,171,115
0,-18,-172,-114,0,16,174,105
0,-18,-175,-114,0,12,177,115
0,-13,-177,-124,0,16,180,115
0,-18,-180,-124,0,16,182,115
0,-13,-183,-125,0,11,185,124
0,-18,-186,-114,0,16,188,124
0,-22,-188,-124,0,16,190,124
0,-18,-191,-114,0,16,192,114
0,-22,-194,-124,0,21,195,114
0,-18,-196,-115,0,16,198,115
0,-22,-199,-125,0,21,200,115
0,-13,-202,-124,0,16,203,115
0,-18,-205,-115,0,12,206,115
0,-13,-207,-124,0,12,208,114
0,-18,-210,-124,0,17,211,114
0,-13,-212,-124,0,17,214,115
0,-18,-215,-115,0,17,216,115
0,-14,-218,-124,0,17,219,124
0,-18,-221,-114,0,17,222,114
0,-18,-223,-124,0,13,224,124
0,-18,-226,-114,0,17,227,115
0,-14,-229,-124,0,18,230,115
0,-18,-231,-115,0,17,232,115
0,-14,-234,-114,0,17,235,115
0,-23,-236,-114,0,22,237,115
0,-19,-239,-114,0,18,240,115
0,-19,-241,-114,0,18,242,115
0,-19,-244,-114,0,18,245,115
0,-23,-247,-115,0,23,248,115
0,-14,-250,-124,0,18,250,115
0,-19,-252,-124,0,18,253,124
0,-14,-255,-124,0,18,256,115
0,-19,-258,-115,0,14,258,124
0,-14,-261,-124,0,18,261,115
0,-23,-263,-115,0,22,264,125
0,-23,-266,-124,0,23,266,115
0,-18,-269,-124,0,18,270,124
0,-18,-272,-134,0,18,272,124
0,-18,-275,-124,0,18,275,115
0,-22,-278,-124,0,22,278,124
0,-13,-281,-134,0,18,280,125
0,-17,-283,-125,0,22,283,124
0,-18,-286,-115,0,13,286,124
0,-18,-289,-115,0,18,288,114
0,-13,-292,-124,0,18,291,115
0,-18,-294,-115,0,18,294,124
0,-17,-297,-124,0,13,297,124
0,-13,-300,-134,0,13,300,124
0,-22,-302,-124,0,18,302,124
0,-17,-305,-124,0,18,305,115
0,-22,-308,-115,0,22,308,124
0,-13,-311,-125,0,13,310,125
0,-17,-314,-115,0,17,313,115
0,-17,-316,-125,0,13,316,124
0,-17,-319,-124,0,18,319,114
0,-17,-321,-124,0,17,322,124
0,-18,-324,-115,0,13,324,124
0,-17,-327,-115,0,17,327,124
0,-18,-329,-115,0,17,330,125
0,-17,-332,-115,0,22,332,115
0,-18,-335,-115,0,17,336,124
0,-17,-337,-115,0,12,338,124
0,-13,-340,-115,0,17,341,115
0,-17,-343,-125,0,16,344,125
0,-13,-346,-125,0,17,346,125
0,-17,-348,-125,0,12,349,125
0,-17,-351,-124,0,12,352,124
0,-13,-354,-123,0,17,354,114
0,-17,-357,-123,0,21,357,114
0,-17,-360,-123,0,17,360,124
0,-12,-363,-124,0,12,363,124
0,-17,-365,-124,0,17,366,115
0,-21,-368,-124,0,21,368,114
0,-12,-371,-124,0,16,372,124
0,-21,-374,-124,0,16,374,133
0,-16,-377,-124,0,16,377,124
0,-21,-379,-115,0,20,380,124
0,-16,-382,-124,0,16,382,124
0,-16,-385,-124,0,16,385,124
0,-16,-388,-115,0,11,388,124
